Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDT_TestSuite,,,2019-04-16 19:47:30,2019-04-16 19:47:41,"10,811s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:47:31,2019-04-16 19:47:35,"4,861s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:31,2019-04-16 19:47:34,"3,074s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:34,2019-04-16 19:47:35,"0,621s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:47:35,2019-04-16 19:47:35,"0,351s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:47:35,2019-04-16 19:47:35,"0,048s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:47:35,2019-04-16 19:47:37,"1,350s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:35,2019-04-16 19:47:36,"0,585s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:36,2019-04-16 19:47:37,"0,691s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:47:37,2019-04-16 19:47:37,"0,047s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:47:37,2019-04-16 19:47:37,"0,005s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:47:37,2019-04-16 19:47:38,"1,281s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:37,2019-04-16 19:47:37,"0,545s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:37,2019-04-16 19:47:38,"0,677s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:47:38,2019-04-16 19:47:38,"0,029s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:47:38,2019-04-16 19:47:38,"0,004s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:47:38,2019-04-16 19:47:39,"1,458s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:38,2019-04-16 19:47:39,"0,572s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:39,2019-04-16 19:47:39,"0,814s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:47:39,2019-04-16 19:47:39,"0,053s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:47:39,2019-04-16 19:47:39,"0,002s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:47:39,2019-04-16 19:47:41,"1,355s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:40,2019-04-16 19:47:40,"0,596s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""ISOCode"":isoCode]))",,,2019-04-16 19:47:40,2019-04-16 19:47:41,"0,688s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:47:41,2019-04-16 19:47:41,"0,039s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:47:41,2019-04-16 19:47:41,"0,002s",ERROR
