Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDT_TestSuite,,,2019-04-16 19:51:02,2019-04-16 19:51:13,"10,378s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:51:03,2019-04-16 19:51:08,"4,670s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:03,2019-04-16 19:51:06,"2,934s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:06,2019-04-16 19:51:07,"0,676s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:51:07,2019-04-16 19:51:07,"0,361s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:51:07,2019-04-16 19:51:08,"0,173s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:51:08,2019-04-16 19:51:09,"1,286s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:08,2019-04-16 19:51:08,"0,589s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:08,2019-04-16 19:51:09,"0,614s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:51:09,2019-04-16 19:51:09,"0,044s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:51:09,2019-04-16 19:51:09,"0,005s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:51:09,2019-04-16 19:51:10,"1,250s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:09,2019-04-16 19:51:09,"0,576s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:09,2019-04-16 19:51:10,"0,608s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:51:10,2019-04-16 19:51:10,"0,034s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:51:10,2019-04-16 19:51:10,"0,002s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:51:10,2019-04-16 19:51:11,"1,305s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:10,2019-04-16 19:51:11,"0,567s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:11,2019-04-16 19:51:11,"0,683s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:51:11,2019-04-16 19:51:11,"0,033s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:51:11,2019-04-16 19:51:11,"0,003s",ERROR
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:51:11,2019-04-16 19:51:13,"1,215s",ERROR
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:11,2019-04-16 19:51:12,"0,549s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:51:12,2019-04-16 19:51:13,"0,610s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:51:13,2019-04-16 19:51:13,"0,038s",PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", capital)",,,2019-04-16 19:51:13,2019-04-16 19:51:13,"0,003s",ERROR
