Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDT_TestSuite,,,2019-04-16 19:49:48,2019-04-16 19:49:58,"10,544s",FAILED
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:49:48,2019-04-16 19:49:53,"4,915s",FAILED
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:49,2019-04-16 19:49:52,"3,378s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:52,2019-04-16 19:49:53,"0,571s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:49:53,2019-04-16 19:49:53,"0,358s",FAILED
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:49:53,2019-04-16 19:49:55,"1,383s",FAILED
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:54,2019-04-16 19:49:54,"0,591s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:54,2019-04-16 19:49:55,"0,556s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:49:55,2019-04-16 19:49:55,"0,063s",FAILED
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:49:55,2019-04-16 19:49:56,"1,184s",FAILED
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:55,2019-04-16 19:49:55,"0,568s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:55,2019-04-16 19:49:56,"0,531s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:49:56,2019-04-16 19:49:56,"0,035s",FAILED
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:49:56,2019-04-16 19:49:57,"1,210s",FAILED
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:56,2019-04-16 19:49:57,"0,580s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:57,2019-04-16 19:49:57,"0,578s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:49:57,2019-04-16 19:49:57,"0,035s",FAILED
,,,,,,
Test Cases/UsingExcelFile_TDD,,,2019-04-16 19:49:57,2019-04-16 19:49:58,"1,123s",FAILED
"response1 = sendRequest(findTestObject(""CountryList/Currency"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:57,2019-04-16 19:49:58,"0,550s",PASSED
"response2 = sendRequest(findTestObject(""CountryList/CountryCapital"", [""isoCode"":isoCode]))",,,2019-04-16 19:49:58,2019-04-16 19:49:58,"0,523s",PASSED
"verifyElementText(response1, ""CountryCurrencyResponse.CountryCurrencyResult.sName"", currency1)",,,2019-04-16 19:49:58,2019-04-16 19:49:58,"0,029s",FAILED
